Title,PDF,Published
Transformer-Based Neural Marked Spatio Temporal Point Process Model for Football Match Events Analysis,http://arxiv.org/pdf/2302.09276v1,2023-02-18
Distinguishing Between Roles of Football Players in Play-by-play Match Event Data,http://arxiv.org/pdf/1809.05173v1,2018-09-13
Going Deep: Models for Continuous-Time Within-Play Valuation of Game Outcomes in American Football with Tracking Data,http://arxiv.org/pdf/1906.01760v3,2019-06-05
Football tracking networks: Beyond event-based connectivity,http://arxiv.org/pdf/2011.06014v1,2020-11-11
Automatic event detection in football using tracking data,http://arxiv.org/pdf/2202.00804v3,2022-02-01
Automatic event detection in football using tracking data,http://arxiv.org/pdf/2202.00804v3,2022-02-01
Automatic event detection in football using tracking data,http://arxiv.org/pdf/2202.00804v3,2022-02-01
Real Time Multi-Object Detection for Helmet Safety,http://arxiv.org/pdf/2205.09878v1,2022-05-19
"Bigger data, better questions, and a return to fourth down behavior: an introduction to a special issue on tracking data in the National football League",http://arxiv.org/pdf/1909.10631v3,2019-09-23
Space evaluation in football games via field weighting based on tracking data,http://arxiv.org/pdf/2001.11629v2,2020-01-31
Design and Implementation of A Soccer Ball Detection System with Multiple Cameras,http://arxiv.org/pdf/2302.00123v1,2023-01-31
Here Comes the STRAIN: Analyzing Defensive Pass Rush in American Football with Player Tracking Data,http://arxiv.org/pdf/2305.10262v3,2023-05-17
"A Survey on Video Action Recognition in Sports: Datasets, Methods and Applications",http://arxiv.org/pdf/2206.01038v1,2022-06-02
SciSports: Learning football kinematics through two-dimensional tracking data,http://arxiv.org/pdf/1808.04550v1,2018-08-14
Unsupervised Methods for Identifying Pass Coverage Among Defensive Backs with NFL Player Tracking Data,http://arxiv.org/pdf/1906.11373v3,2019-06-26
Event Detection in Football using Graph Convolutional Networks,http://arxiv.org/pdf/2301.10052v1,2023-01-24
Event Detection in Football using Graph Convolutional Networks,http://arxiv.org/pdf/2301.10052v1,2023-01-24
Passing Heatmap Prediction Based on Transformer Model and Tracking Data,http://arxiv.org/pdf/2309.01526v1,2023-09-04
Named Entity Recognition Using Web Document Corpus,http://arxiv.org/pdf/1102.5728v1,2011-02-28
Multimodal and multiview distillation for real-time player detection on a football field,http://arxiv.org/pdf/2004.07544v1,2020-04-16
Improving state estimation through projection post-processing for activity recognition with application to football,http://arxiv.org/pdf/2102.03310v4,2021-02-05
Toward more accurate and generalizable brain deformation estimators for traumatic brain injury detection with unsupervised domain adaptation,http://arxiv.org/pdf/2306.05255v1,2023-06-08
Physics-informed machine learning improves detection of head impacts,http://arxiv.org/pdf/2108.08797v1,2021-08-19
Community Detection in Complex Networks using Genetic Algorithm,http://arxiv.org/pdf/cond-mat/0604419v1,2006-04-18
Community Detection in Complex Networks Using Agents,http://arxiv.org/pdf/cs/0610129v1,2006-10-23
SportSense: Real-Time Detection of NFL Game Events from Twitter,http://arxiv.org/pdf/1205.3212v1,2012-05-14
A Unified Approach for Modeling and Recognition of Individual Actions and Group Activities,http://arxiv.org/pdf/1208.4398v1,2012-08-21
Hybrid Multimodal Fusion for Humor Detection,http://arxiv.org/pdf/2209.11949v1,2022-09-24
Multi-Level Anomaly Detection on Time-Varying Graph Data,http://arxiv.org/pdf/1410.4355v4,2014-10-16
Community Detection by $L_0$-penalized Graph Laplacian,http://arxiv.org/pdf/1706.10273v1,2017-06-30
Observation Centric and Central Distance Recovery on Sports Player Tracking,http://arxiv.org/pdf/2209.13154v1,2022-09-27
SportsMOT: A Large Multi-Object Tracking Dataset in Multiple Sports Scenes,http://arxiv.org/pdf/2304.05170v2,2023-04-11
A Distributed Algorithm for Overlapped Community Detection in Large-Scale Networks,http://arxiv.org/pdf/2011.05954v1,2020-11-11
